PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000    12.000     2   2.7741
        2     0.00000    25.113     6.000     2   3.9231
        3     0.00000    14.853    48.000     3   4.1611
        4     0.00000     5.816    48.000     3   4.7356
        5     0.00000    59.998    24.000     2   4.8048
        6     0.00000    10.348    48.000     3   5.1764
        7     0.00000    32.149    96.000     3   5.1764
        8     0.00000    19.974    12.000     2   5.5481
        9     0.00000     8.197    12.000     3   5.5481
       10     0.00000    86.273    24.000     3   5.5481
       11     0.00000    14.991    12.000     4   5.5481
       12     0.00000     3.448    12.000     4   5.5481
       13     0.00000     4.825    48.000     4   5.5481
       14     0.00000    97.236    12.000     4   5.5481
       15     0.00000     5.060    48.000     4   5.5481
       16     0.00000     9.789    48.000     4   5.5481
       18     0.00000     3.047    48.000     3   5.7510
       19     0.00000    28.513    24.000     2   6.2030
       20     0.00000     4.537    48.000     3   6.4501
       21     0.00000     9.560    48.000     3   6.4501
       22     0.00000    11.380    48.000     3   6.4501
       23     0.00000     4.037    96.000     3   6.5635
       24     0.00000     8.960    96.000     4   6.5635
       25     0.00000     5.801    96.000     4   6.5635
       28     0.00000     7.121     8.000     2   6.7950
