# Structure from AMCSD, AMS_ID: 11157          Feff8L (EXAFS)       0.1
# Mineral Name: Platinum
# Journal: Crystal Structures 1, pp. 7-83 (1963)
# Authors: Wyckoff R W G
# Title1:  Second edition. Interscience Publishers, New York, New York
# Title2:  Cubic closest packed, ccp, structure
# Formula:    Pt
# SpaceGroup: Fm-3m
# # sites:    1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.463 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.659E-01 kf=2.036E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7741
#           2       0.00000     25.11      6.00     2   3.9231
#           3       0.00000     14.85     48.00     3   4.1611
#           4       0.00000      5.82     48.00     3   4.7356
#           5       0.00000     60.00     24.00     2   4.8048
#           6       0.00000     10.35     48.00     3   5.1764
#           7       0.00000     32.15     96.00     3   5.1764
#           8       0.00000     19.97     12.00     2   5.5481
#           9       0.00000      8.20     12.00     3   5.5481
#          10       0.00000     86.27     24.00     3   5.5481
#          11       0.00000     14.99     12.00     4   5.5481
#          13       0.00000      4.82     48.00     4   5.5481
#          14       0.00000     97.24     12.00     4   5.5481
#          15       0.00000      5.06     48.00     4   5.5481
#          16       0.00000      9.79     48.00     4   5.5481
#          19       0.00000     28.51     24.00     2   6.2030
#          20       0.00000      4.54     48.00     3   6.4501
#          21       0.00000      9.56     48.00     3   6.4501
#          22       0.00000     11.38     48.00     3   6.4501
#          23       0.00000      4.04     96.00     3   6.5635
#          24       0.00000      8.96     96.00     4   6.5635
#          25       0.00000      5.80     96.00     4   6.5635
#          28       0.00000      7.12      8.00     2   6.7950
#    23/  25 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -7.730828E-02  9.686497E-02 -2.217451E+00
     0.0500   -7.666559E-02  9.547453E-02 -2.209289E+00
     0.1000   -7.600684E-02  9.408563E-02 -2.201102E+00
     0.1500   -7.393545E-02  8.996108E-02 -2.176924E+00
     0.2000   -7.172966E-02  8.585147E-02 -2.152534E+00
     0.2500   -6.777666E-02  7.913067E-02 -2.113112E+00
     0.3000   -6.350550E-02  7.245758E-02 -2.073152E+00
     0.3500   -5.708887E-02  6.338381E-02 -2.020248E+00
     0.4000   -5.021109E-02  5.441991E-02 -1.966669E+00
     0.4500   -4.108286E-02  4.349241E-02 -1.905224E+00
     0.5000   -3.155046E-02  3.278715E-02 -1.846326E+00
     0.5500   -1.968671E-02  2.025159E-02 -1.807541E+00
     0.6000   -7.803442E-03  8.208531E-03 -1.886267E+00
     0.6500    5.437207E-03  6.177706E-03 -4.217736E+00
     0.7000    1.786457E-02  1.875358E-02 -4.403249E+00
     0.7500    3.011377E-02  3.240650E-02 -4.333973E+00
     0.8000    4.034740E-02  4.527710E-02 -4.241404E+00
     0.8500    4.836711E-02  5.832363E-02 -4.119426E+00
     0.9000    5.311019E-02  7.030570E-02 -3.997884E+00
     0.9500    5.375496E-02  8.185385E-02 -3.858052E+00
     1.0000    5.036304E-02  9.207406E-02 -3.720350E+00
     1.0500    4.184105E-02  1.012629E-01 -3.567550E+00
     1.1000    2.962454E-02  1.088853E-01 -3.417137E+00
     1.1500    1.287362E-02  1.149855E-01 -3.253786E+00
     1.2000   -5.785583E-03  1.193473E-01 -3.093097E+00
     1.2500   -2.658801E-02  1.218541E-01 -2.921628E+00
     1.3000   -4.638111E-02  1.225654E-01 -2.753505E+00
     1.3500   -6.500543E-02  1.213394E-01 -2.576218E+00
     1.4000   -7.966572E-02  1.184287E-01 -2.403755E+00
     1.4500   -9.028009E-02  1.137660E-01 -2.224956E+00
     1.5000   -9.540762E-02  1.077353E-01 -2.053864E+00
     1.5500   -9.568322E-02  1.004510E-01 -1.880130E+00
     1.6000   -9.133711E-02  9.235454E-02 -1.719368E+00
     1.6500   -8.380368E-02  8.380748E-02 -1.561275E+00
     1.7000   -7.445577E-02  7.525871E-02 -1.424591E+00
     1.7500   -6.482032E-02  6.735573E-02 -1.295549E+00
     1.8000   -5.621675E-02  6.041739E-02 -1.195702E+00
     1.8500   -4.900141E-02  5.493674E-02 -1.101663E+00
     1.9000   -4.380949E-02  5.111320E-02 -1.029627E+00
     1.9500   -3.937300E-02  4.888308E-02 -9.364386E-01
     2.0000   -3.568815E-02  4.790820E-02 -8.404266E-01
     2.0500   -2.973552E-02  4.753596E-02 -6.758200E-01
     2.1000   -2.265147E-02  4.725866E-02 -4.998666E-01
     2.1500   -1.456630E-02  4.687358E-02 -3.159896E-01
     2.2000   -5.937860E-03  4.629907E-02 -1.286043E-01
     2.2500    6.158140E-03  4.474942E-02  1.380519E-01
     2.3000    1.669331E-02  4.298458E-02  3.988467E-01
     2.3500    2.492560E-02  4.120429E-02  6.496744E-01
     2.4000    3.079594E-02  3.967111E-02  8.887452E-01
     2.4500    3.611362E-02  3.859442E-02  1.210299E+00
     2.5000    3.748647E-02  3.753857E-02  1.518105E+00
     2.5500    3.566076E-02  3.674410E-02  1.814228E+00
     2.6000    3.135475E-02  3.639887E-02  2.103532E+00
     2.6500    2.599511E-02  3.797288E-02  2.387578E+00
     2.7000    1.774380E-02  3.981247E-02  2.679654E+00
     2.7500    6.729349E-03  4.182765E-02  2.980008E+00
     2.8000   -6.415389E-03  4.392652E-02  3.288165E+00
     2.8500   -2.084768E-02  4.812359E-02  3.589645E+00
     2.9000   -3.567675E-02  5.213122E-02  3.895324E+00
     2.9500   -4.878021E-02  5.585467E-02  4.203613E+00
     3.0000   -5.803592E-02  5.920746E-02  4.513127E+00
     3.0500   -6.231289E-02  6.261595E-02  4.810815E+00
     3.1000   -6.034429E-02  6.539147E-02  5.107858E+00
     3.1500   -5.204267E-02  6.749790E-02  5.402734E+00
     3.2000   -3.830125E-02  6.892754E-02  5.694012E+00
     3.2500   -2.124465E-02  6.957220E-02  5.972868E+00
     3.3000   -2.434098E-03  6.953463E-02  6.248173E+00
     3.3500    1.604344E-02  6.886248E-02  6.518324E+00
     3.4000    3.233707E-02  6.763659E-02  6.781676E+00
     3.4500    4.503215E-02  6.588925E-02  7.035667E+00
     3.5000    5.361195E-02  6.373473E-02  7.282634E+00
     3.5500    5.791393E-02  6.128983E-02  7.520533E+00
     3.6000    5.837388E-02  5.870734E-02  7.747348E+00
     3.6500    5.538159E-02  5.578906E-02  7.974917E+00
     3.7000    4.973173E-02  5.260231E-02  8.185871E+00
     3.7500    4.311279E-02  4.977159E-02  8.377205E+00
     3.8000    3.646511E-02  4.771165E-02  8.554852E+00
     3.8500    2.915209E-02  4.575463E-02  8.733997E+00
     3.9000    2.217281E-02  4.429878E-02  8.900569E+00
     3.9500    1.562306E-02  4.353907E-02  9.057765E+00
     4.0000    9.222773E-03  4.360694E-02  9.211671E+00
     4.0500    2.102736E-03  4.382729E-02  9.376782E+00
     4.1000   -5.559541E-03  4.465097E-02  9.549613E+00
     4.1500   -1.399253E-02  4.596493E-02  9.734105E+00
     4.2000   -2.314975E-02  4.761462E-02  9.932502E+00
     4.2500   -3.241164E-02  4.914760E-02  1.014490E+01
     4.3000   -4.103389E-02  5.063981E-02  1.036946E+01
     4.3500   -4.806324E-02  5.197343E-02  1.060520E+01
     4.4000   -5.249160E-02  5.304494E-02  1.085101E+01
     4.4500   -5.317172E-02  5.348460E-02  1.110379E+01
     4.5000   -4.988955E-02  5.346414E-02  1.136332E+01
     4.5500   -4.268619E-02  5.294581E-02  1.162863E+01
     4.6000   -3.213085E-02  5.190491E-02  1.189886E+01
     4.6500   -1.955418E-02  5.021535E-02  1.216638E+01
     4.7000   -6.247957E-03  4.799952E-02  1.243583E+01
     4.7500    6.310313E-03  4.528751E-02  1.270616E+01
     4.8000    1.678054E-02  4.212360E-02  1.297610E+01
     4.8500    2.383876E-02  3.861323E-02  1.323177E+01
     4.9000    2.758875E-02  3.479407E-02  1.348195E+01
     4.9500    2.816161E-02  3.076153E-02  1.372307E+01
     5.0000    2.616731E-02  2.663341E-02  1.394981E+01
     5.0500    2.280430E-02  2.280461E-02  1.414239E+01
     5.1000    1.887721E-02  1.912424E-02  1.429807E+01
     5.1500    1.533456E-02  1.586983E-02  1.439763E+01
     5.2000    1.288690E-02  1.342869E-02  1.442219E+01
     5.2500    1.185661E-02  1.215529E-02  1.435931E+01
     5.3000    1.240437E-02  1.253485E-02  1.428158E+01
     5.3500    1.414548E-02  1.427584E-02  1.427241E+01
     5.4000    1.640269E-02  1.677982E-02  1.434958E+01
     5.4500    1.895114E-02  2.014161E-02  1.448270E+01
     5.5000    2.043965E-02  2.363175E-02  1.466297E+01
     5.5500    2.006968E-02  2.706478E-02  1.487260E+01
     5.6000    1.728992E-02  3.032233E-02  1.510121E+01
     5.6500    1.155160E-02  3.395758E-02  1.536086E+01
     5.7000    2.949297E-03  3.732969E-02  1.562887E+01
     5.7500   -7.831638E-03  4.035043E-02  1.590329E+01
     5.8000   -1.962312E-02  4.293066E-02  1.618268E+01
     5.8500   -3.162632E-02  4.518125E-02  1.648334E+01
     5.9000   -4.128091E-02  4.685068E-02  1.678618E+01
     5.9500   -4.701560E-02  4.786143E-02  1.709048E+01
     6.0000   -4.782131E-02  4.814877E-02  1.739545E+01
     6.0500   -4.292647E-02  4.742244E-02  1.771772E+01
     6.1000   -3.333935E-02  4.596046E-02  1.803795E+01
     6.1500   -2.077426E-02  4.376586E-02  1.835497E+01
     6.2000   -7.415548E-03  4.086107E-02  1.866706E+01
     6.2500    4.540236E-03  3.729144E-02  1.897161E+01
     6.3000    1.335135E-02  3.313065E-02  1.926434E+01
     6.3500    1.809740E-02  2.849078E-02  1.953783E+01
     6.4000    1.885449E-02  2.354527E-02  1.977815E+01
     6.4500    1.663120E-02  1.858917E-02  1.995725E+01
     6.5000    1.307689E-02  1.420612E-02  2.001894E+01
     6.5500    1.027122E-02  1.170561E-02  1.992010E+01
     6.6000    9.545010E-03  1.219087E-02  1.974897E+01
     6.6500    1.157943E-02  1.518906E-02  1.971650E+01
     6.7000    1.610329E-02  1.929550E-02  1.983689E+01
     6.7500    2.198525E-02  2.362742E-02  2.004532E+01
     6.8000    2.755484E-02  2.775642E-02  2.029976E+01
     6.8500    3.106215E-02  3.145500E-02  2.057856E+01
     6.9000    3.114867E-02  3.458865E-02  2.087012E+01
     6.9500    2.720023E-02  3.707731E-02  2.116753E+01
     7.0000    1.948879E-02  3.888194E-02  2.146613E+01
     7.0500    8.729570E-03  3.982898E-02  2.177018E+01
     7.1000   -3.187470E-03  4.013832E-02  2.207064E+01
     7.1500   -1.454384E-02  3.985441E-02  2.236470E+01
     7.2000   -2.388765E-02  3.905788E-02  2.264922E+01
     7.2500   -3.035214E-02  3.787364E-02  2.292079E+01
     7.3000   -3.379287E-02  3.647704E-02  2.317592E+01
     7.3500   -3.469921E-02  3.509371E-02  2.341186E+01
     7.4000   -3.391160E-02  3.398552E-02  2.362791E+01
     7.4500   -3.224625E-02  3.341417E-02  2.382712E+01
     7.5000   -3.016464E-02  3.358271E-02  2.401704E+01
     7.5500   -2.707853E-02  3.414350E-02  2.421689E+01
     7.6000   -2.306702E-02  3.543148E-02  2.442380E+01
     7.6500   -1.751565E-02  3.734887E-02  2.464461E+01
