 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000    12.000     2   2.7741
      2    25.113     6.000     2   3.9231
      3    14.853    48.000     3   4.1611
      4     5.816    48.000     3   4.7356
      5    59.998    24.000     2   4.8048
      6    10.348    48.000     3   5.1764
      7    32.149    96.000     3   5.1764
      8    19.974    12.000     2   5.5481
      9     8.197    12.000     3   5.5481
     10    86.273    24.000     3   5.5481
     11    14.991    12.000     4   5.5481
     12     3.448    12.000     4   5.5481
     13     4.825    48.000     4   5.5481
     14    97.236    12.000     4   5.5481
     15     5.060    48.000     4   5.5481
     16     9.789    48.000     4   5.5481
     17     2.531    48.000     4   5.5481 neglected
     18     3.047    48.000     3   5.7510
     19    28.513    24.000     2   6.2030
     20     4.537    48.000     3   6.4501
     21     9.560    48.000     3   6.4501
     22    11.380    48.000     3   6.4501
     23     4.037    96.000     3   6.5635
     24     8.960    96.000     4   6.5635
     25     5.801    96.000     4   6.5635
     26     1.411    48.000     4   6.6972 neglected
     27     2.452    48.000     4   6.6972 neglected
     28     7.121     8.000     2   6.7950
   25 paths kept,   28 examined.
 Done with module 5: F_eff.
