# Structure from AMCSD, AMS_ID: 11157          Feff8L (EXAFS)       0.1
# Mineral Name: Platinum
# Journal: Crystal Structures 1, pp. 7-83 (1963)
# Authors: Wyckoff R W G
# Title1:  Second edition. Interscience Publishers, New York, New York
# Title2:  Cubic closest packed, ccp, structure
# Formula:    Pt
# SpaceGroup: Fm-3m
# # sites:    1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.463 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.659E-01 kf=2.036E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7741
#           2       0.00000     25.11      6.00     2   3.9231
#           3       0.00000     14.85     48.00     3   4.1611
#           4       0.00000      5.82     48.00     3   4.7356
#           5       0.00000     60.00     24.00     2   4.8048
#           6       0.00000     10.35     48.00     3   5.1764
#           7       0.00000     32.15     96.00     3   5.1764
#           8       0.00000     19.97     12.00     2   5.5481
#           9       0.00000      8.20     12.00     3   5.5481
#          10       0.00000     86.27     24.00     3   5.5481
#          11       0.00000     14.99     12.00     4   5.5481
#          13       0.00000      4.82     48.00     4   5.5481
#          14       0.00000     97.24     12.00     4   5.5481
#          15       0.00000      5.06     48.00     4   5.5481
#          16       0.00000      9.79     48.00     4   5.5481
#          19       0.00000     28.51     24.00     2   6.2030
#          20       0.00000      4.54     48.00     3   6.4501
#          21       0.00000      9.56     48.00     3   6.4501
#          22       0.00000     11.38     48.00     3   6.4501
#          23       0.00000      4.04     96.00     3   6.5635
#          24       0.00000      8.96     96.00     4   6.5635
#          25       0.00000      5.80     96.00     4   6.5635
#          28       0.00000      7.12      8.00     2   6.7950
#    23/  25 paths used
#  xsedge+50, used to normalize mu           3.9219E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   11563.073     -0.266   0.000  4.73621E-01  5.69981E-01 -7.73083E-02
   11563.083     -0.256   0.050  4.77328E-01  5.72793E-01 -7.66656E-02
   11563.111     -0.228   0.100  4.81053E-01  5.75604E-01 -7.60068E-02
   11563.159     -0.180   0.150  4.92131E-01  5.83838E-01 -7.39355E-02
   11563.225     -0.114   0.200  5.03360E-01  5.92071E-01 -7.17297E-02
   11563.311     -0.028   0.250  5.22058E-01  6.05486E-01 -6.77767E-02
   11563.416      0.077   0.300  5.41099E-01  6.18900E-01 -6.35055E-02
   11563.540      0.201   0.350  5.67434E-01  6.36933E-01 -5.70889E-02
   11563.683      0.344   0.400  5.94227E-01  6.54966E-01 -5.02111E-02
   11563.845      0.506   0.450  6.27129E-01  6.76444E-01 -4.10829E-02
   11564.026      0.687   0.500  6.60343E-01  6.97923E-01 -3.15505E-02
   11564.226      0.887   0.550  6.97757E-01  7.21002E-01 -1.96867E-02
   11564.445      1.106   0.600  7.34948E-01  7.44081E-01 -7.80344E-03
   11564.683      1.344   0.650  7.72860E-01  7.66557E-01  5.43721E-03
   11564.940      1.601   0.700  8.09545E-01  7.89034E-01  1.78646E-02
   11565.216      1.877   0.750  8.43206E-01  8.08975E-01  3.01138E-02
   11565.511      2.172   0.800  8.74320E-01  8.28915E-01  4.03474E-02
   11565.826      2.487   0.850  8.99049E-01  8.45167E-01  4.83671E-02
   11566.159      2.820   0.900  9.19984E-01  8.61419E-01  5.31102E-02
   11566.512      3.173   0.950  9.32394E-01  8.73706E-01  5.37550E-02
   11566.883      3.544   1.000  9.40426E-01  8.85992E-01  5.03630E-02
   11567.274      3.935   1.050  9.39458E-01  8.94665E-01  4.18410E-02
   11567.683      4.344   1.100  9.34748E-01  9.03338E-01  2.96245E-02
   11568.112      4.773   1.150  9.22585E-01  9.09057E-01  1.28736E-02
   11568.559      5.220   1.200  9.08751E-01  9.14776E-01 -5.78558E-03
   11569.026      5.687   1.250  8.90811E-01  9.18275E-01 -2.65880E-02
   11569.512      6.173   1.300  8.74257E-01  9.21775E-01 -4.63811E-02
   11570.017      6.678   1.350  8.57602E-01  9.23724E-01 -6.50054E-02
