 beta-PtO2, orthorhombic, PDF# 43-1045          Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.303 Rnm= 1.388 L3 shell
 Pot 1 Z=78 Rmt= 1.307 Rnm= 1.400
 Pot 2 Z= 8 Rmt= 0.993 Rnm= 1.061
 Gam_ch=5.171E+00 H-L exch
 Mu= 6.451E+00 kf=2.428E+00 Vint=-1.600E+01 Rs_int= 1.494
 PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  165      icalc       2
 -----------------------------------------------------------------------
   3  16.000   6.7445    2.2502    6.45059 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     4.4839   -4.5385   -0.0000  1  78 Pt
     2.2419   -2.2692   -1.5680  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1322E+01  1.8118E-05 -1.2349E+01  1.058E+00  7.1667E+00  2.4316E+00
  0.100  1.1322E+01  1.2582E-02 -1.3674E+01  1.058E+00  7.1725E+00  2.4336E+00
  0.200  1.1319E+01  2.4998E-02 -1.4946E+01  1.058E+00  7.1896E+00  2.4395E+00
  0.300  1.1315E+01  3.7086E-02 -1.6168E+01  1.058E+00  7.2177E+00  2.4492E+00
  0.400  1.1310E+01  4.8694E-02 -1.7339E+01  1.058E+00  7.2559E+00  2.4628E+00
  0.500  1.1303E+01  5.9683E-02 -1.8462E+01  1.058E+00  7.3032E+00  2.4802E+00
  0.600  1.1294E+01  6.9929E-02 -1.9536E+01  1.058E+00  7.3583E+00  2.5012E+00
  0.700  1.1284E+01  7.9329E-02 -2.0564E+01  1.058E+00  7.4198E+00  2.5259E+00
  0.800  1.1272E+01  8.7793E-02 -2.1545E+01  1.058E+00  7.4857E+00  2.5542E+00
  0.900  1.1259E+01  9.5253E-02 -2.2483E+01  1.058E+00  7.5542E+00  2.5859E+00
  1.000  1.1244E+01  1.0166E-01 -2.3377E+01  1.058E+00  7.6233E+00  2.6209E+00
  1.100  1.1228E+01  1.0697E-01 -2.4230E+01  1.058E+00  7.6909E+00  2.6592E+00
  1.200  1.1210E+01  1.1118E-01 -2.5043E+01  1.058E+00  7.7548E+00  2.7007E+00
  1.300  1.1191E+01  1.1429E-01 -2.5817E+01  1.058E+00  7.8131E+00  2.7452E+00
  1.400  1.1171E+01  1.1631E-01 -2.6553E+01  1.058E+00  7.8641E+00  2.7927E+00
  1.500  1.1149E+01  1.1731E-01 -2.7253E+01  1.059E+00  7.9062E+00  2.8432E+00
  1.600  1.1126E+01  1.1736E-01 -2.7918E+01  1.059E+00  7.9384E+00  2.8965E+00
