PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     2.000     2   1.9891
        2     0.00000   196.883     4.000     2   2.0034
        3     0.00000    40.780     2.000     2   3.1360
        4     0.00000    30.788     2.000     2   3.1837
        5     0.00000    10.296     4.000     3   3.2504
        6     0.00000    23.678     8.000     3   3.3775
        7     0.00000    24.336     8.000     3   3.4375
        8     0.00000   125.837     8.000     2   3.5545
        9     0.00000    11.483     4.000     3   3.5714
       10     0.00000     6.214     8.000     3   3.5714
       11     0.00000    20.865     2.000     2   3.6504
       12     0.00000    39.684     4.000     2   3.7136
       13     0.00000    15.863     8.000     3   3.7735
       14     0.00000    15.908     8.000     3   3.7735
       15     0.00000    35.927     4.000     2   3.8406
       16     0.00000     5.443     8.000     3   3.9748
       17     0.00000    11.820     2.000     3   3.9782
       18     0.00000    32.302     2.000     4   3.9782
       19     0.00000     7.170     2.000     4   3.9782
       20     0.00000     4.903     4.000     4   3.9925
       21     0.00000     4.886     4.000     4   3.9925
       22     0.00000    12.077     8.000     4   3.9925
       23     0.00000    12.271     8.000     4   3.9925
       24     0.00000    22.967     4.000     3   4.0068
       25     0.00000    62.394     4.000     4   4.0068
       26     0.00000    13.876     4.000     4   4.0068
       27     0.00000     4.566     4.000     4   4.0068
       28     0.00000     5.159     4.000     4   4.0068
       29     0.00000     6.458     8.000     3   4.2398
       30     0.00000     5.237     8.000     3   4.2682
       31     0.00000    25.581     4.000     2   4.2933
       32     0.00000     7.284     8.000     3   4.2992
       33     0.00000     5.415     8.000     3   4.2998
       34     0.00000     6.028     8.000     3   4.3561
       35     0.00000     3.760     8.000     3   4.3708
       36     0.00000    11.705     2.000     2   4.4165
       37     0.00000     3.972     8.000     3   4.4194
       38     0.00000     5.018     8.000     3   4.4194
       39     0.00000    21.758     4.000     3   4.4498
       40     0.00000    22.553     4.000     2   4.4688
       41     0.00000    11.094     2.000     4   4.4831
       42     0.00000    18.047     2.000     2   4.4839
