 Preparing plane wave scattering amplitudes...
 Searching for paths...
   WARNING:  rmax > distance to most distant atom.
             Some paths may be missing.
             rmax, ratx   1.00000E+01  0.00000E+00
    Rmax 10.0000  keep and heap limits   0.0000000   0.0000000
    Preparing neighbor table
    nfound  heapsize  maxheap  maxscatt   reff
      1000      498      498      3      5.1639
      2000      799      799      3      5.5579
      3000     1043     1043      3      5.8045
      4000     1219     1219      3      5.9946
      5000     1387     1387      3      6.1165
      6000     1599     1599      3      6.2349
      7000     1745     1745      3      6.3174
      8000     1875     1875      3      6.4061
      9000     2019     2019      3      6.4864
     10000     2159     2159      3      6.5552
     11000     2299     2299      3      6.6176
     12000     2411     2411      3      6.6905
     13000     2516     2516      3      6.7445
     14000     2627     2627      3      6.8016
     15000     2703     2703      3      6.8517
     16000     2759     2759      3      6.8804
     17000     2887     2887      3      6.9206
     18000     2967     2967      3      6.9613
     19000     3015     3015      3      7.0032
     20000     3154     3154      3      7.0453
     21000     3227     3227      3      7.0856
     22000     3375     3375      3      7.1183
     23000     3431     3431      3      7.1536
     24000     3511     3511      3      7.1886
     25000     3527     3527      3      7.2258
     26000     3619     3619      3      7.2553
     27000     3795     3795      3      7.2755
     28000     3853     3853      3      7.3025
     29000     3949     3949      3      7.3307
     30000     4102     4102      3      7.3604
     31000     4250     4250      3      7.3789
     32000     4381     4381      3      7.3951
     33000     4493     4493      3      7.4137
     34000     4585     4585      3      7.4293
     35000     4649     4649      3      7.4545
     36000     4681     4681      3      7.4746
     37000     4721     4721      3      7.4920
     38000     4785     4785      3      7.5209
     39000     4857     4857      3      7.5510
     40000     4933     4933      3      7.5739
     41000     5017     5017      3      7.6024
     42000     5205     5205      3      7.6207
     43000     5253     5253      3      7.6429
     44000     5385     5385      3      7.6637
     45000     5445     5445      3      7.6824
     46000     5537     5537      3      7.7050
     47000     5641     5641      3      7.7194
     48000     5697     5697      3      7.7363
     49000     5753     5753      3      7.7514
     50000     5929     5929      3      7.7647
     51000     5945     5945      3      7.7736
     52000     5985     5985      3      7.7875
     53000     6073     6073      3      7.8056
     54000     6129     6129      3      7.8252
     55000     6241     6241      3      7.8392
     56000     6281     6281      3      7.8504
     57000     6345     6345      3      7.8647
     58000     6401     6401      3      7.8781
     59000     6481     6481      3      7.8899
     60000     6561     6561      3      7.9038
     61000     6577     6577      3      7.9226
     62000     6653     6653      3      7.9363
     63000     6753     6753      3      7.9512
     64000     6889     6889      3      7.9686
     65000     6949     6949      3      7.9792
     66000     7021     7021      3      7.9949
     67000     7061     7061      3      8.0076
     68000     7129     7129      3      8.0208
     69000     7169     7169      3      8.0318
     70000     7281     7281      3      8.0477
     71000     7393     7393      3      8.0540
     72000     7441     7441      3      8.0666
     73000     7481     7481      3      8.0805
     74000     7513     7513      3      8.0930
     75000     7549     7549      3      8.1059
     76000     7685     7685      3      8.1183
     77000     7709     7709      3      8.1307
     78000     7777     7777      3      8.1416
     79000     7865     7865      3      8.1507
     80000     7973     7973      3      8.1635
     81000     8037     8037      3      8.1736
     82000     8087     8087      3      8.1781
     83000     8135     8135      3      8.1883
     84000     8167     8167      3      8.1980
     85000     8263     8263      3      8.2057
     86000     8335     8335      3      8.2160
     87000     8387     8387      3      8.2293
     88000     8467     8467      3      8.2391
     89000     8507     8507      3      8.2479
     90000     8579     8579      3      8.2585
     91000     8619     8619      3      8.2661
     92000     8667     8667      3      8.2789
     93000     8715     8715      3      8.2886
     94000     8755     8755      3      8.2955
     95000     8819     8819      3      8.3090
     96000     8885     8885      3      8.3162
     97000     8949     8949      3      8.3248
     98000     9005     9005      3      8.3339
     99000     9013     9013      3      8.3410
    100000     9077     9077      3      8.3481
    101000     9123     9123      3      8.3571
    102000     9199     9199      3      8.3685
    103000     9259     9259      3      8.3763
    104000     9307     9307      3      8.3833
    105000     9379     9379      3      8.3930
    106000     9435     9435      3      8.4015
    107000     9467     9467      3      8.4108
    108000     9471     9471      3      8.4171
    109000     9515     9515      3      8.4266
    110000     9555     9555      3      8.4362
    111000     9619     9619      3      8.4447
    112000     9707     9707      3      8.4536
    113000     9719     9719      3      8.4598
    114000     9779     9779      3      8.4662
    115000     9847     9847      3      8.4734
    116000     9959     9959      3      8.4850
    117000    10091    10091      3      8.4925
    118000    10124    10124      3      8.5021
    119000    10151    10151      3      8.5087
    120000    10171    10171      3      8.5159
    121000    10235    10235      3      8.5227
    122000    10295    10295      3      8.5293
    123000    10327    10327      3      8.5367
    124000    10343    10343      3      8.5417
    125000    10359    10359      3      8.5483
    126000    10427    10427      3      8.5547
    127000    10483    10483      3      8.5607
    128000    10559    10559      3      8.5674
    129000    10571    10571      3      8.5745
    130000    10579    10579      3      8.5817
    131000    10615    10615      3      8.5872
    132000    10687    10687      3      8.5940
    133000    10751    10751      3      8.6001
    134000    10859    10859      3      8.6056
    135000    10987    10987      3      8.6129
    136000    11003    11003      3      8.6183
    137000    11059    11059      3      8.6314
    138000    11139    11139      3      8.6360
    139000    11251    11251      3      8.6425
    140000    11263    11267      3      8.6489
    141000    11307    11307      3      8.6560
    142000    11315    11315      3      8.6642
    143000    11375    11375      3      8.6690
    144000    11391    11391      3      8.6747
    145000    11423    11423      3      8.6805
    146000    11503    11503      3      8.6862
    147000    11551    11551      3      8.6927
    148000    11615    11615      3      8.6975
    149000    11655    11655      3      8.7036
    150000    11655    11655      3      8.7076
    151000    11735    11735      3      8.7122
    152000    11791    11791      3      8.7192
    153000    11839    11839      3      8.7275
    154000    11895    11895      3      8.7362
    155000    11935    11935      3      8.7417
    156000    11939    11939      3      8.7466
    157000    12019    12019      3      8.7530
    158000    12035    12039      3      8.7596
    159000    12099    12099      3      8.7683
    160000    12187    12187      3      8.7770
    161000    12251    12251      3      8.7837
    162000    12286    12286      3      8.7911
    163000    12347    12347      3      8.7962
    164000    12411    12411      3      8.8041
    165000    12451    12451      3      8.8096
    166000    12483    12483      3      8.8155
    167000    12503    12503      3      8.8196
    168000    12615    12619      3      8.8246
    169000    12671    12671      3      8.8297
    170000    12717    12717      3      8.8331
    171000    12765    12765      3      8.8380
    172000    12793    12793      3      8.8439
    173000    12833    12833      3      8.8489
    174000    12865    12869      3      8.8538
    175000    12921    12921      3      8.8587
    176000    12965    12969      3      8.8637
    177000    12973    12973      3      8.8686
    178000    13077    13077      3      8.8755
    179000    13085    13085      3      8.8817
    180000    13105    13105      3      8.8861
    181000    13169    13169      3      8.8907
    182000    13205    13209      3      8.8966
    183000    13301    13305      3      8.9024
    184000    13357    13357      3      8.9067
    185000    13365    13365      3      8.9121
    186000    13433    13433      3      8.9166
    187000    13449    13449      3      8.9198
    188000    13469    13469      3      8.9249
    189000    13509    13509      3      8.9314
    190000    13537    13537      3      8.9391
    191000    13593    13593      3      8.9448
    192000    13609    13609      3      8.9473
    193000    13645    13645      3      8.9550
    194000    13691    13691      3      8.9614
    195000    13754    13754      3      8.9665
    196000    13835    13835      3      8.9707
    197000    13843    13843      3      8.9736
    198000    13911    13911      3      8.9796
    199000    13927    13931      3      8.9842
    200000    13971    13975      3      8.9881
    201000    14027    14027      3      8.9934
    202000    14043    14043      3      8.9984
    203000    14115    14115      3      9.0019
    204000    14115    14115      3      9.0079
    205000    14155    14155      3      9.0133
    206000    14203    14203      3      9.0203
    207000    14235    14235      3      9.0244
    208000    14299    14299      3      9.0276
    209000    14347    14347      3      9.0329
    210000    14399    14403      3      9.0375
    211000    14463    14463      3      9.0421
    212000    14507    14507      3      9.0471
    213000    14535    14535      3      9.0511
    214000    14619    14619      3      9.0561
    215000    14631    14635      3      9.0615
    216000    14651    14655      3      9.0662
    217000    14691    14691      3      9.0702
    218000    14723    14723      3      9.0740
    219000    14787    14787      3      9.0772
    220000    14831    14831      3      9.0809
    221000    14875    14879      3      9.0865
    222000    14907    14907      3      9.0899
    223000    14955    14955      3      9.0937
    224000    14979    14979      3      9.0981
    225000    15039    15039      3      9.1035
    226000    15047    15055      3      9.1074
    227000    15087    15087      3      9.1102
    228000    15119    15119      3      9.1130
    229000    15191    15191      3      9.1166
    230000    15231    15231      3      9.1213
    231000    15271    15271      3      9.1255
    232000    15311    15311      3      9.1298
    233000    15331    15331      3      9.1333
    234000    15355    15355      3      9.1372
    235000    15399    15399      3      9.1417
    236000    15463    15463      3      9.1469
    237000    15474    15474      3      9.1496
    238000    15511    15511      3      9.1526
    239000    15535    15535      3      9.1570
    240000    15567    15567      3      9.1616
    241000    15599    15599      3      9.1657
    242000    15615    15615      3      9.1689
    243000    15643    15643      3      9.1725
    244000    15691    15691      3      9.1768
    245000    15739    15739      3      9.1808
    246000    15779    15779      3      9.1854
    247000    15783    15783      3      9.1886
    248000    15831    15835      3      9.1929
    249000    15855    15859      3      9.1964
    250000    15863    15863      3      9.2005
    251000    15939    15939      3      9.2046
