 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     2.000     2   1.9891
      2   196.883     4.000     2   2.0034
      3    40.780     2.000     2   3.1360
      4    30.788     2.000     2   3.1837
      5    10.296     4.000     3   3.2504
      6    23.678     8.000     3   3.3775
      7    24.336     8.000     3   3.4375
      8   125.837     8.000     2   3.5545
      9    11.483     4.000     3   3.5714
     10     6.214     8.000     3   3.5714
     11    20.865     2.000     2   3.6504
     12    39.684     4.000     2   3.7136
     13    15.863     8.000     3   3.7735
     14    15.908     8.000     3   3.7735
     15    35.927     4.000     2   3.8406
     16     5.443     8.000     3   3.9748
     17    11.820     2.000     3   3.9782
     18    32.302     2.000     4   3.9782
     19     7.170     2.000     4   3.9782
     20     4.903     4.000     4   3.9925
     21     4.886     4.000     4   3.9925
     22    12.077     8.000     4   3.9925
     23    12.271     8.000     4   3.9925
     24    22.967     4.000     3   4.0068
     25    62.394     4.000     4   4.0068
     26    13.876     4.000     4   4.0068
     27     4.566     4.000     4   4.0068
     28     5.159     4.000     4   4.0068
     29     6.458     8.000     3   4.2398
     30     5.237     8.000     3   4.2682
     31    25.581     4.000     2   4.2933
     32     7.284     8.000     3   4.2992
     33     5.415     8.000     3   4.2998
     34     6.028     8.000     3   4.3561
     35     3.760     8.000     3   4.3708
     36    11.705     2.000     2   4.4165
     37     3.972     8.000     3   4.4194
     38     5.018     8.000     3   4.4194
     39    21.758     4.000     3   4.4498
     40    22.553     4.000     2   4.4688
     41    11.094     2.000     4   4.4831
     42    18.047     2.000     2   4.4839
     43     4.164     4.000     4   4.4974
     44    11.918     8.000     3   4.5224
     45    17.487     2.000     2   4.5385
     46     4.083     8.000     3   4.6042
     47    17.029     8.000     3   4.6174
     48     4.067     8.000     3   4.6358
     49     4.042     8.000     3   4.6921
     50     3.836     4.000     4   4.7516
     51     3.743     4.000     4   4.7516
     52     3.823     4.000     4   4.7659
     53     6.564     4.000     4   4.7659
     54    17.768     4.000     2   4.8125
     55    30.231     8.000     3   4.8492
     56     2.301     4.000     3   4.8557 neglected
     57     2.034     4.000     3   4.8557 neglected
     58     3.098     4.000     3   4.8557
     59    17.131     4.000     2   4.8665
     60     4.552     8.000     3   4.8666
     61     3.698     4.000     4   4.8716
     62     3.680     4.000     4   4.8859
     63    14.490     4.000     4   4.8859
     64     4.406     8.000     3   4.9184
     65     4.991     8.000     3   4.9872
     66     6.668     8.000     3   5.0029
     67    13.473     8.000     3   5.0029
     68    24.398     8.000     3   5.0029
     69     5.305     8.000     3   5.0134
     70     4.757     8.000     4   5.0205
     71     5.357    16.000     3   5.1225
     72     1.778     8.000     3   5.1225 neglected
     73     1.273     8.000     4   5.1394 neglected
     74     3.386     4.000     4   5.1394
     75     5.330     4.000     4   5.1394
     76     6.872     4.000     4   5.1394
     77     2.073     8.000     4   5.1394 neglected
     78    12.891     8.000     4   5.1394
     79     4.057     8.000     3   5.1852
     80     7.449     8.000     3   5.1852
     81     1.644     8.000     4   5.1871 neglected
     82     0.872     8.000     4   5.1871 neglected
     83     2.764     8.000     4   5.2062
     84     2.484     8.000     4   5.2219 neglected
     85     6.252     8.000     4   5.2219
     86     2.882     8.000     3   5.3842
     87     2.744     8.000     3   5.3945
     88    12.075     4.000     2   5.4008
     89    11.955     4.000     2   5.4166
     90     2.413     8.000     3   5.4383 neglected
     91     6.962     8.000     4   5.4383
     92     2.683     8.000     3   5.4710
     93    20.839     4.000     2   5.4717
     94     7.593     8.000     3   5.4722
     95    28.010     8.000     3   5.4722
     96     7.545     8.000     3   5.4872
     97    27.849     8.000     3   5.4872
     98     3.027     8.000     3   5.5032
     99    20.348     4.000     2   5.5166
    100     7.394     8.000     4   5.5436
    101     1.445     8.000     4   5.5436 neglected
    102    18.516     4.000     4   5.5436
    103    10.998     4.000     2   5.5490
    104     7.412     8.000     4   5.5579
    105     1.453     8.000     4   5.5579 neglected
    106    18.461     4.000     4   5.5579
