# Pd                                           Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=46 Rmt= 1.523 Rnm= 1.569 K  shell
# Pot 1 Z=46 Rmt= 1.467 Rnm= 1.504
# Gam_ch=7.677E+00 H-L exch
# Mu= 2.525E-02 kf=1.785E+00 Vint=-1.211E+01 Rs_int= 2.032
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7699
#           2       0.00000     19.01      6.00     2   3.9173
#           3       0.00000      8.43     48.00     3   4.1549
#           4       0.00000      5.18     48.00     3   4.7286
#           5       0.00000     40.02     24.00     2   4.7977
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -1.993379E-01  1.993480E-01 -1.580858E+00
     0.0500   -1.993035E-01  1.993047E-01 -1.574243E+00
     0.1000   -1.992586E-01  1.992596E-01 -1.567623E+00
     0.1500   -1.990586E-01  1.991110E-01 -1.547847E+00
     0.2000   -1.987651E-01  1.989469E-01 -1.528039E+00
     0.2500   -1.980553E-01  1.986223E-01 -1.495216E+00
     0.3000   -1.970899E-01  1.982552E-01 -1.462318E+00
     0.3500   -1.952967E-01  1.976394E-01 -1.416674E+00
     0.4000   -1.930213E-01  1.969423E-01 -1.370917E+00
     0.4500   -1.894047E-01  1.958827E-01 -1.312902E+00
     0.5000   -1.850532E-01  1.946945E-01 -1.254776E+00
     0.5500   -1.788268E-01  1.930300E-01 -1.184789E+00
     0.6000   -1.716475E-01  1.911865E-01 -1.114752E+00
     0.6500   -1.621729E-01  1.887522E-01 -1.033673E+00
     0.7000   -1.516639E-01  1.860934E-01 -9.527085E-01
     0.7500   -1.386937E-01  1.827566E-01 -8.616197E-01
     0.8000   -1.248456E-01  1.791650E-01 -7.709535E-01
     0.8500   -1.087544E-01  1.748501E-01 -6.712770E-01
     0.9000   -9.224894E-02  1.702765E-01 -5.725291E-01
     0.9500   -7.415109E-02  1.649942E-01 -4.661119E-01
     1.0000   -5.639309E-02  1.594895E-01 -3.614009E-01
     1.0500   -3.803756E-02  1.533666E-01 -2.506331E-01
     1.1000   -2.092300E-02  1.471131E-01 -1.427078E-01
     1.1500   -4.269700E-03  1.404792E-01 -3.039851E-02
     1.2000    1.037540E-02  1.338738E-01  7.757913E-02
     1.2500    2.366604E-02  1.270838E-01  1.873174E-01
     1.3000    3.458422E-02  1.205798E-01  2.909017E-01
     1.3500    4.397533E-02  1.143377E-01  3.947846E-01
     1.4000    5.129085E-02  1.087160E-01  4.913171E-01
     1.4500    5.760719E-02  1.038151E-01  5.882447E-01
     1.5000    6.272793E-02  9.988170E-02  6.790092E-01
     1.5500    6.787724E-02  9.706516E-02  7.744117E-01
     1.6000    7.284433E-02  9.540165E-02  8.687993E-01
     1.6500    7.867387E-02  9.495972E-02  9.764189E-01
     1.7000    8.470741E-02  9.553097E-02  1.090160E+00
     1.7500    9.136840E-02  9.707979E-02  1.226070E+00
     1.8000    9.728793E-02  9.922875E-02  1.372690E+00
     1.8500    1.018985E-01  1.019277E-01  1.546874E+00
     1.9000    1.034061E-01  1.047700E-01  1.732332E+00
     1.9500    1.001250E-01  1.077645E-01  1.949597E+00
     2.0000    9.090838E-02  1.105732E-01  2.176405E+00
     2.0500    7.262813E-02  1.125586E-01  2.440245E+00
     2.1000    4.720344E-02  1.137556E-01  2.713699E+00
     2.1500    1.664619E-02  1.140470E-01  2.995110E+00
     2.2000   -1.598921E-02  1.133663E-01  3.283105E+00
     2.2500   -4.819109E-02  1.119568E-01  3.586577E+00
     2.3000   -7.481912E-02  1.098333E-01  3.891002E+00
     2.3500   -9.307553E-02  1.070366E-01  4.195919E+00
     2.4000   -1.013033E-01  1.036130E-01  4.500851E+00
     2.4500   -1.031189E-01  1.034674E-01  4.794492E+00
     2.5000   -9.586491E-02  1.030493E-01  5.088003E+00
     2.5500   -8.031175E-02  1.023668E-01  5.381217E+00
     2.6000   -5.804117E-02  1.014303E-01  5.673967E+00
     2.6500   -3.314184E-02  1.037555E-01  5.958065E+00
     2.7000   -4.484203E-03  1.056976E-01  6.240748E+00
     2.7500    2.534577E-02  1.072533E-01  6.521759E+00
     2.8000    5.365277E-02  1.084249E-01  6.800834E+00
     2.8500    7.854421E-02  1.106497E-01  7.072465E+00
     2.9000    9.798319E-02  1.123927E-01  7.342036E+00
     2.9500    1.102681E-01  1.136595E-01  7.609081E+00
     3.0000    1.144472E-01  1.144681E-01  7.873110E+00
     3.0500    1.109083E-01  1.152787E-01  8.130219E+00
     3.1000    9.970190E-02  1.155759E-01  8.384287E+00
     3.1500    8.199283E-02  1.153997E-01  8.634553E+00
     3.2000    5.947655E-02  1.148128E-01  8.880231E+00
     3.2500    3.350299E-02  1.134797E-01  9.125078E+00
     3.3000    6.712590E-03  1.118321E-01  9.364718E+00
     3.3500   -1.898385E-02  1.099821E-01  9.598255E+00
     3.4000   -4.209621E-02  1.080703E-01  9.824895E+00
     3.4500   -6.149944E-02  1.049343E-01  1.005098E+01
     3.5000   -7.621409E-02  1.019529E-01  1.026913E+01
     3.5500   -8.635240E-02  9.931750E-02  1.047888E+01
     3.6000   -9.244543E-02  9.723555E-02  1.068038E+01
     3.6500   -9.398000E-02  9.463651E-02  1.087772E+01
     3.7000   -9.268722E-02  9.293455E-02  1.106855E+01
     3.7500   -8.917837E-02  9.227272E-02  1.125528E+01
     3.8000   -8.368194E-02  9.273407E-02  1.144110E+01
     3.8500   -7.490705E-02  9.320121E-02  1.163286E+01
     3.9000   -6.363884E-02  9.469089E-02  1.182937E+01
     3.9500   -4.934363E-02  9.707002E-02  1.203313E+01
     4.0000   -3.156809E-02  1.001636E-01  1.224574E+01
     4.0500   -9.792095E-03  1.028075E-01  1.247098E+01
     4.1000    1.463209E-02  1.057307E-01  1.270521E+01
     4.1500    4.052121E-02  1.087502E-01  1.294819E+01
     4.2000    6.607620E-02  1.116969E-01  1.319937E+01
     4.2500    8.742797E-02  1.124295E-01  1.345725E+01
     4.3000    1.041519E-01  1.139541E-01  1.371936E+01
     4.3500    1.143372E-01  1.155299E-01  1.399335E+01
     4.4000    1.149749E-01  1.161191E-01  1.427767E+01
     4.4500    1.047517E-01  1.149755E-01  1.456207E+01
     4.5000    8.583296E-02  1.132702E-01  1.484807E+01
     4.5500    6.015531E-02  1.110231E-01  1.513535E+01
     4.6000    3.036793E-02  1.082583E-01  1.542363E+01
     4.6500   -8.677835E-04  1.044708E-01  1.571627E+01
     4.7000   -2.958479E-02  1.002103E-01  1.600766E+01
     4.7500   -5.310019E-02  9.555103E-02  1.629720E+01
     4.8000   -6.959424E-02  9.057297E-02  1.658427E+01
     4.8500   -7.837695E-02  8.530150E-02  1.687305E+01
     4.9000   -7.930684E-02  7.989943E-02  1.715689E+01
     4.9500   -7.356498E-02  7.446980E-02  1.743480E+01
     5.0000   -6.291333E-02  6.911871E-02  1.770574E+01
     5.0500   -4.927541E-02  6.420652E-02  1.797470E+01
     5.1000   -3.441048E-02  5.960829E-02  1.823417E+01
     5.1500   -1.983493E-02  5.543291E-02  1.848362E+01
     5.2000   -6.522850E-03  5.177848E-02  1.872324E+01
     5.2500    5.564129E-03  4.916769E-02  1.896297E+01
     5.3000    1.606664E-02  4.720607E-02  1.919685E+01
     5.3500    2.511143E-02  4.589793E-02  1.942847E+01
     5.4000    3.280959E-02  4.519965E-02  1.966187E+01
     5.4500    3.976622E-02  4.555569E-02  1.991070E+01
     5.5000    4.486720E-02  4.633044E-02  2.016836E+01
     5.5500    4.739451E-02  4.740052E-02  2.043628E+01
     5.6000    4.655018E-02  4.864382E-02  2.071481E+01
     5.6500    4.203806E-02  5.060508E-02  2.101077E+01
     5.7000    3.284858E-02  5.256273E-02  2.131609E+01
     5.7500    1.925727E-02  5.443645E-02  2.162956E+01
     5.8000    2.311614E-03  5.616063E-02  2.194998E+01
     5.8500   -1.644255E-02  5.842389E-02  2.227644E+01
     5.9000   -3.495872E-02  6.045778E-02  2.260771E+01
     5.9500   -5.067218E-02  6.222042E-02  2.294284E+01
     6.0000   -6.118158E-02  6.367818E-02  2.328100E+01
     6.0500   -6.549059E-02  6.557388E-02  2.361235E+01
     6.1000   -6.219946E-02  6.707514E-02  2.394558E+01
     6.1500   -5.131771E-02  6.814688E-02  2.428006E+01
     6.2000   -3.401797E-02  6.876075E-02  2.461522E+01
     6.2500   -1.248752E-02  6.889540E-02  2.495048E+01
     6.3000    1.041378E-02  6.853676E-02  2.528528E+01
     6.3500    3.162737E-02  6.767847E-02  2.561900E+01
     6.4000    4.841068E-02  6.632232E-02  2.595096E+01
     6.4500    5.879191E-02  6.447892E-02  2.628039E+01
     6.5000    6.187508E-02  6.216853E-02  2.660634E+01
     6.5500    5.818280E-02  5.945737E-02  2.691097E+01
     6.6000    4.921591E-02  5.633711E-02  2.721179E+01
     6.6500    3.663408E-02  5.278139E-02  2.750720E+01
     6.7000    2.253123E-02  4.878940E-02  2.779430E+01
     6.7500    9.083030E-03  4.440938E-02  2.806835E+01
     6.8000   -1.896539E-03  3.976536E-02  2.832205E+01
     6.8500   -9.371386E-03  3.509163E-02  2.854467E+01
     6.9000   -1.332562E-02  3.077964E-02  2.872208E+01
     6.9500   -1.472513E-02  2.742043E-02  2.884123E+01
     7.0000   -1.518725E-02  2.574318E-02  2.890533E+01
     7.0500   -1.604815E-02  2.578311E-02  2.894618E+01
     7.1000   -1.864857E-02  2.787211E-02  2.900730E+01
     7.1500   -2.362627E-02  3.160376E-02  2.911874E+01
     7.2000   -3.081510E-02  3.641403E-02  2.928323E+01
