 Pd                                             Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=46 Rmt= 1.523 Rnm= 1.569 K  shell
 Pot 1 Z=46 Rmt= 1.467 Rnm= 1.504
 Gam_ch=7.677E+00 H-L exch
 Mu= 2.525E-02 kf=1.785E+00 Vint=-1.211E+01 Rs_int= 2.032
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2  12.000   2.7699    2.8449    0.02525 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  46 Pd       absorbing atom
     1.9586   -0.0000   -1.9586  1  46 Pd
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  9.5010E+00  4.2901E-06 -1.1054E+01  1.071E+00  3.5856E+00  1.8063E+00
  0.100  9.5003E+00  5.4336E-02 -1.1596E+01  1.071E+00  3.5907E+00  1.8089E+00
  0.200  9.4980E+00  1.0746E-01 -1.2114E+01  1.073E+00  3.6060E+00  1.8167E+00
  0.300  9.4943E+00  1.5823E-01 -1.2608E+01  1.075E+00  3.6312E+00  1.8296E+00
  0.400  9.4889E+00  2.0567E-01 -1.3079E+01  1.078E+00  3.6655E+00  1.8475E+00
  0.500  9.4817E+00  2.4900E-01 -1.3528E+01  1.081E+00  3.7081E+00  1.8704E+00
  0.600  9.4726E+00  2.8766E-01 -1.3954E+01  1.086E+00  3.7579E+00  1.8980E+00
  0.700  9.4613E+00  3.2135E-01 -1.4358E+01  1.091E+00  3.8137E+00  1.9303E+00
  0.800  9.4475E+00  3.4998E-01 -1.4741E+01  1.097E+00  3.8742E+00  1.9670E+00
  0.900  9.4311E+00  3.7360E-01 -1.5103E+01  1.104E+00  3.9379E+00  2.0081E+00
  1.000  9.4117E+00  3.9237E-01 -1.5444E+01  1.111E+00  4.0033E+00  2.0533E+00
  1.100  9.3889E+00  4.0648E-01 -1.5764E+01  1.119E+00  4.0691E+00  2.1025E+00
  1.200  9.3623E+00  4.1626E-01 -1.6062E+01  1.127E+00  4.1339E+00  2.1557E+00
  1.300  9.3316E+00  4.2164E-01 -1.6338E+01  1.136E+00  4.1967E+00  2.2127E+00
  1.400  9.2961E+00  4.2283E-01 -1.6589E+01  1.145E+00  4.2567E+00  2.2734E+00
  1.500  9.2555E+00  4.1992E-01 -1.6815E+01  1.155E+00  4.3135E+00  2.3379E+00
  1.600  9.2091E+00  4.1304E-01 -1.7013E+01  1.165E+00  4.3674E+00  2.4061E+00
  1.700  9.1562E+00  4.0244E-01 -1.7179E+01  1.176E+00  4.4193E+00  2.4782E+00
  1.800  9.0962E+00  3.8868E-01 -1.7310E+01  1.185E+00  4.4710E+00  2.5541E+00
  1.900  9.0283E+00  3.7270E-01 -1.7400E+01  1.194E+00  4.5252E+00  2.6341E+00
  2.000  8.9530E+00  3.5563E-01 -1.7440E+01  1.202E+00  4.5860E+00  2.7184E+00
  2.200  8.7335E+00  3.1306E-01 -1.7330E+01  1.214E+00  4.6106E+00  2.9165E+00
  2.400  8.6078E+00  3.4100E-01 -1.7297E+01  1.436E+00  3.6726E+00  3.0804E+00
  2.600  8.5822E+00  3.9311E-01 -1.7328E+01  1.499E+00  3.4607E+00  3.2102E+00
  2.800  8.5239E+00  4.9622E-01 -1.7359E+01  1.522E+00  3.3763E+00  3.3509E+00
  3.000  8.4447E+00  6.2539E-01 -1.7396E+01  1.514E+00  3.3696E+00  3.4985E+00
  3.200  8.3531E+00  7.5676E-01 -1.7452E+01  1.490E+00  3.4099E+00  3.6521E+00
  3.400  8.2490E+00  8.6931E-01 -1.7497E+01  1.456E+00  3.4822E+00  3.8111E+00
  3.600  8.1367E+00  9.3606E-01 -1.7531E+01  1.424E+00  3.5780E+00  3.9749E+00
  3.800  8.0201E+00  9.6237E-01 -1.7557E+01  1.383E+00  3.6923E+00  4.1429E+00
  4.000  7.8978E+00  9.4289E-01 -1.7565E+01  1.347E+00  3.8213E+00  4.3145E+00
  4.200  7.7739E+00  8.9183E-01 -1.7563E+01  1.313E+00  3.9625E+00  4.4894E+00
  4.400  7.6479E+00  8.1900E-01 -1.7545E+01  1.281E+00  4.1142E+00  4.6672E+00
  4.600  7.5199E+00  7.3261E-01 -1.7510E+01  1.251E+00  4.2749E+00  4.8473E+00
  4.800  7.3916E+00  6.4249E-01 -1.7455E+01  1.225E+00  4.4435E+00  5.0296E+00
  5.000  7.2625E+00  5.5733E-01 -1.7374E+01  1.199E+00  4.6191E+00  5.2138E+00
  5.200  7.1336E+00  4.8216E-01 -1.7260E+01  1.175E+00  4.8010E+00  5.3996E+00
  5.400  7.0048E+00  4.2294E-01 -1.7106E+01  1.155E+00  4.9886E+00  5.5868E+00
  5.600  6.8768E+00  3.8501E-01 -1.6918E+01  1.134E+00  5.1814E+00  5.7752E+00
  5.800  6.7502E+00  3.6996E-01 -1.6710E+01  1.116E+00  5.3790E+00  5.9648E+00
  6.000  6.6253E+00  3.7779E-01 -1.6516E+01  1.100E+00  5.5810E+00  6.1553E+00
  6.500  6.3237E+00  4.5344E-01 -1.6196E+01  1.066E+00  6.1034E+00  6.6351E+00
  7.000  6.0395E+00  5.4188E-01 -1.6085E+01  1.041E+00  6.6478E+00  7.1189E+00
  7.500  5.7629E+00  6.1060E-01 -1.6083E+01  1.016E+00  7.2112E+00  7.6056E+00
  8.000  5.4928E+00  6.5874E-01 -1.6133E+01  9.948E-01  7.7914E+00  8.0947E+00
  8.500  5.2292E+00  6.8769E-01 -1.6206E+01  9.773E-01  8.3868E+00  8.5856E+00
  9.000  4.9770E+00  6.9823E-01 -1.6294E+01  9.635E-01  8.9959E+00  9.0778E+00
  9.500  4.7365E+00  6.9474E-01 -1.6389E+01  9.536E-01  9.6176E+00  9.5712E+00
 10.000  4.5058E+00  6.8281E-01 -1.6489E+01  9.463E-01  1.0251E+01  1.0066E+01
 11.000  4.0688E+00  6.4188E-01 -1.6695E+01  9.358E-01  1.1549E+01  1.1056E+01
 12.000  3.6668E+00  5.8641E-01 -1.6907E+01  9.296E-01  1.2885E+01  1.2049E+01
 13.000  3.2940E+00  5.2887E-01 -1.7116E+01  9.268E-01  1.4254E+01  1.3043E+01
 14.000  2.9468E+00  4.7080E-01 -1.7326E+01  9.251E-01  1.5652E+01  1.4039E+01
 15.000  2.6244E+00  4.1551E-01 -1.7532E+01  9.250E-01  1.7078E+01  1.5035E+01
 16.000  2.3226E+00  3.6279E-01 -1.7730E+01  9.250E-01  1.8528E+01  1.6032E+01
 17.000  2.0404E+00  3.1646E-01 -1.7913E+01  9.250E-01  2.0000E+01  1.7029E+01
 18.000  1.7736E+00  2.7748E-01 -1.8086E+01  9.246E-01  2.1493E+01  1.8027E+01
 19.000  1.5216E+00  2.4577E-01 -1.8248E+01  9.242E-01  2.3005E+01  1.9025E+01
 20.000  1.2824E+00  2.2087E-01 -1.8401E+01  9.244E-01  2.4535E+01  2.0023E+01
