# Pd                                           Feff8L (EXAFS)       0.1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=46 Rmt= 1.523 Rnm= 1.569 K  shell
# Pot 1 Z=46 Rmt= 1.467 Rnm= 1.504
# Gam_ch=7.677E+00 H-L exch
# Mu= 2.525E-02 kf=1.785E+00 Vint=-1.211E+01 Rs_int= 2.032
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7699
#           2       0.00000     19.01      6.00     2   3.9173
#           3       0.00000      8.43     48.00     3   4.1549
#           4       0.00000      5.18     48.00     3   4.7286
#           5       0.00000     40.02     24.00     2   4.7977
#     5/   5 paths used
#  xsedge+50, used to normalize mu           8.2983E-05
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   24374.094      0.025   0.000  2.87710E-01  4.65245E-01 -1.99338E-01
   24374.104      0.035   0.050  2.89108E-01  4.66695E-01 -1.99304E-01
   24374.132      0.063   0.100  2.90515E-01  4.68146E-01 -1.99259E-01
   24374.180      0.111   0.150  2.94820E-01  4.72521E-01 -1.99059E-01
   24374.246      0.178   0.200  2.99209E-01  4.76895E-01 -1.98765E-01
   24374.332      0.263   0.250  3.06739E-01  4.84192E-01 -1.98055E-01
   24374.437      0.368   0.300  3.14501E-01  4.91489E-01 -1.97090E-01
   24374.561      0.492   0.350  3.25729E-01  5.01641E-01 -1.95297E-01
   24374.704      0.635   0.400  3.37402E-01  5.11793E-01 -1.93021E-01
   24374.865      0.797   0.450  3.52848E-01  5.24606E-01 -1.89405E-01
   24375.046      0.978   0.500  3.68987E-01  5.37420E-01 -1.85053E-01
   24375.246      1.178   0.550  3.89051E-01  5.52503E-01 -1.78827E-01
   24375.466      1.397   0.600  4.10037E-01  5.67586E-01 -1.71648E-01
   24375.704      1.635   0.650  4.34795E-01  5.84328E-01 -1.62173E-01
   24375.961      1.892   0.700  4.60591E-01  6.01070E-01 -1.51664E-01
   24376.237      2.168   0.750  4.89617E-01  6.18692E-01 -1.38694E-01
   24376.532      2.464   0.800  5.19579E-01  6.36315E-01 -1.24846E-01
   24376.847      2.778   0.850  5.51835E-01  6.54007E-01 -1.08754E-01
   24377.180      3.111   0.900  5.84626E-01  6.71700E-01 -9.22489E-02
   24377.532      3.464   0.950  6.18455E-01  6.88766E-01 -7.41511E-02
   24377.904      3.835   1.000  6.52117E-01  7.05832E-01 -5.63931E-02
   24378.294      4.226   1.050  6.85393E-01  7.21777E-01 -3.80376E-02
   24378.704      4.635   1.100  7.17624E-01  7.37722E-01 -2.09230E-02
   24379.133      5.064   1.150  7.48146E-01  7.52263E-01 -4.26970E-03
   24379.580      5.512   1.200  7.76845E-01  7.66804E-01  1.03754E-02
   24380.047      5.978   1.250  8.02796E-01  7.79820E-01  2.36660E-02
   24380.533      6.464   1.300  8.26517E-01  7.92836E-01  3.45842E-02
   24381.038      6.969   1.350  8.47248E-01  8.04316E-01  4.39753E-02
   24381.562      7.493   1.400  8.65993E-01  8.15796E-01  5.12908E-02
   24382.104      8.036   1.450  8.82260E-01  8.25784E-01  5.76072E-02
   24382.666      8.598   1.500  8.97375E-01  8.35773E-01  6.27279E-02
   24383.247      9.179   1.550  9.11065E-01  8.44343E-01  6.78772E-02
   24383.848      9.779   1.600  9.24585E-01  8.52913E-01  7.28443E-02
   24384.467     10.398   1.650  9.37567E-01  8.60146E-01  7.86739E-02
   24385.105     11.036   1.700  9.50752E-01  8.67379E-01  8.47074E-02
   24385.762     11.693   1.750  9.63230E-01  8.73352E-01  9.13684E-02
   24386.438     12.370   1.800  9.74973E-01  8.79324E-01  9.72879E-02
   24387.134     13.065   1.850  9.84142E-01  8.84082E-01  1.01899E-01
   24387.848     13.779   1.900  9.90256E-01  8.88840E-01  1.03406E-01
   24388.581     14.513   1.950  9.89753E-01  8.91810E-01  1.00125E-01
   24389.334     15.265   2.000  9.83475E-01  8.94780E-01  9.09084E-02
   24390.105     16.037   2.050  9.69381E-01  8.98751E-01  7.26281E-02
   24390.896     16.827   2.100  9.48478E-01  9.02722E-01  4.72034E-02
   24391.706     17.637   2.150  9.22776E-01  9.06694E-01  1.66462E-02
   24392.534     18.466   2.200  8.95267E-01  9.10665E-01 -1.59892E-02
   24393.382     19.313   2.250  8.70988E-01  9.17454E-01 -4.81911E-02
   24394.249     20.180   2.300  8.52013E-01  9.24242E-01 -7.48191E-02
   24395.135     21.066   2.350  8.41066E-01  9.31031E-01 -9.30755E-02
   24396.039     21.971   2.400  8.39781E-01  9.37819E-01 -1.01303E-01
   24396.963     22.895   2.450  8.41502E-01  9.41360E-01 -1.03119E-01
   24397.906     23.838   2.500  8.52009E-01  9.44900E-01 -9.58649E-02
   24398.868     24.800   2.550  8.70571E-01  9.48440E-01 -8.03117E-02
   24399.849     25.781   2.600  8.95670E-01  9.51981E-01 -5.80412E-02
   24400.850     26.781   2.650  9.21914E-01  9.54103E-01 -3.31418E-02
   24401.869     27.800   2.700  9.51865E-01  9.56225E-01 -4.48420E-03
   24402.907     28.838   2.750  9.83019E-01  9.58348E-01  2.53458E-02
   24403.964     29.896   2.800  1.01275E+00  9.60470E-01  5.36528E-02
   24405.041     30.972   2.850  1.03868E+00  9.62034E-01  7.85442E-02
   24406.136     32.067   2.900  1.05934E+00  9.63597E-01  9.79832E-02
   24407.250     33.182   2.950  1.07305E+00  9.65161E-01  1.10268E-01
   24408.384     34.315   3.000  1.07886E+00  9.66724E-01  1.14447E-01
   24409.536     35.468   3.050  1.07669E+00  9.67852E-01  1.10908E-01
   24410.708     36.639   3.100  1.06698E+00  9.68980E-01  9.97019E-02
   24411.899     37.830   3.150  1.05083E+00  9.70108E-01  8.19928E-02
   24413.108     39.039   3.200  1.02988E+00  9.71235E-01  5.94765E-02
   24414.337     40.268   3.250  1.00543E+00  9.72338E-01  3.35030E-02
   24415.585     41.516   3.300  9.80084E-01  9.73441E-01  6.71259E-03
   24416.852     42.783   3.350  9.55721E-01  9.74544E-01 -1.89838E-02
   24418.137     44.069   3.400  9.33832E-01  9.75647E-01 -4.20962E-02
   24419.442     45.374   3.450  9.15635E-01  9.76814E-01 -6.14994E-02
   24420.766     46.698   3.500  9.02052E-01  9.77980E-01 -7.62141E-02
   24422.109     48.041   3.550  8.92991E-01  9.79147E-01 -8.63524E-02
   24423.471     49.403   3.600  8.87942E-01  9.80314E-01 -9.24454E-02
   24424.852     50.784   3.650  8.87309E-01  9.81382E-01 -9.39800E-02
   24426.253     52.184   3.700  8.89505E-01  9.82450E-01 -9.26872E-02
   24427.672     53.603   3.750  8.93932E-01  9.83518E-01 -8.91784E-02
   24429.110     55.041   3.800  9.00372E-01  9.84586E-01 -8.36819E-02
   24430.567     56.499   3.850  9.10390E-01  9.85894E-01 -7.49071E-02
   24432.044     57.975   3.900  9.22954E-01  9.87202E-01 -6.36388E-02
   24433.539     59.470   3.950  9.38615E-01  9.88510E-01 -4.93436E-02
   24435.054     60.985   4.000  9.57846E-01  9.89818E-01 -3.15681E-02
   24436.587     62.518   4.050  9.80937E-01  9.90868E-01 -9.79209E-03
   24438.140     64.071   4.100  1.00678E+00  9.91919E-01  1.46321E-02
   24439.711     65.643   4.150  1.03418E+00  9.92969E-01  4.05212E-02
   24441.302     67.233   4.200  1.06130E+00  9.94019E-01  6.60762E-02
   24442.912     68.843   4.250  1.08424E+00  9.95116E-01  8.74280E-02
   24444.541     70.472   4.300  1.10250E+00  9.96213E-01  1.04152E-01
   24446.188     72.120   4.350  1.11412E+00  9.97310E-01  1.14337E-01
   24447.855     73.787   4.400  1.11599E+00  9.98406E-01  1.14975E-01
   24449.541     75.472   4.450  1.10654E+00  9.99308E-01  1.04752E-01
   24451.246     77.177   4.500  1.08816E+00  1.00021E+00  8.58330E-02
   24452.970     78.901   4.550  1.06281E+00  1.00111E+00  6.01553E-02
   24454.713     80.644   4.600  1.03319E+00  1.00201E+00  3.03679E-02
   24456.475     82.407   4.650  1.00174E+00  1.00264E+00 -8.67783E-04
   24458.256     84.188   4.700  9.72859E-01  1.00326E+00 -2.95848E-02
   24460.057     85.988   4.750  9.49294E-01  1.00388E+00 -5.31002E-02
   24461.876     87.807   4.800  9.32930E-01  1.00450E+00 -6.95942E-02
   24463.714     89.646   4.850  9.24274E-01  1.00490E+00 -7.83769E-02
   24465.572     91.503   4.900  9.23694E-01  1.00530E+00 -7.93068E-02
   24467.448     93.379   4.950  9.29980E-01  1.00569E+00 -7.35650E-02
   24469.344     95.275   5.000  9.41323E-01  1.00609E+00 -6.29133E-02
   24471.258     97.189   5.050  9.55505E-01  1.00624E+00 -4.92754E-02
   24473.192     99.123   5.100  9.70952E-01  1.00638E+00 -3.44105E-02
   24475.144    101.075   5.150  9.86104E-01  1.00653E+00 -1.98349E-02
   24477.116    103.047   5.200  9.99956E-01  1.00667E+00 -6.52285E-03
   24479.107    105.038   5.250  1.01238E+00  1.00665E+00  5.56413E-03
   24481.116    107.048   5.300  1.02317E+00  1.00663E+00  1.60666E-02
   24483.145    109.076   5.350  1.03246E+00  1.00661E+00  2.51114E-02
   24485.193    111.124   5.400  1.04035E+00  1.00659E+00  3.28096E-02
   24487.260    113.191   5.450  1.04748E+00  1.00656E+00  3.97662E-02
   24489.346    115.277   5.500  1.05270E+00  1.00653E+00  4.48672E-02
   24491.451    117.382   5.550  1.05526E+00  1.00650E+00  4.73945E-02
   24493.575    119.506   5.600  1.05436E+00  1.00647E+00  4.65502E-02
   24495.718    121.649   5.650  1.04957E+00  1.00634E+00  4.20381E-02
   24497.880    123.812   5.700  1.03998E+00  1.00620E+00  3.28486E-02
   24500.062    125.993   5.750  1.02586E+00  1.00607E+00  1.92573E-02
   24502.262    128.193   5.800  1.00831E+00  1.00593E+00  2.31161E-03
   24504.481    130.412   5.850  9.88945E-01  1.00584E+00 -1.64425E-02
   24506.719    132.651   5.900  9.69837E-01  1.00574E+00 -3.49587E-02
   24508.977    134.908   5.950  9.53619E-01  1.00564E+00 -5.06722E-02
   24511.253    137.185   6.000  9.42752E-01  1.00555E+00 -6.11816E-02
   24513.549    139.480   6.050  9.38292E-01  1.00547E+00 -6.54906E-02
   24515.863    141.795   6.100  9.41630E-01  1.00540E+00 -6.21995E-02
   24518.197    144.128   6.150  9.52741E-01  1.00533E+00 -5.13177E-02
   24520.550    146.481   6.200  9.70414E-01  1.00525E+00 -3.40180E-02
   24522.921    148.853   6.250  9.92398E-01  1.00518E+00 -1.24875E-02
   24525.312    151.243   6.300  1.01576E+00  1.00511E+00  1.04138E-02
   24527.722    153.653   6.350  1.03737E+00  1.00503E+00  3.16274E-02
   24530.151    156.082   6.400  1.05443E+00  1.00496E+00  4.84107E-02
   24532.599    158.530   6.450  1.06493E+00  1.00489E+00  5.87919E-02
   24535.066    160.997   6.500  1.06798E+00  1.00481E+00  6.18751E-02
   24537.552    163.483   6.550  1.06411E+00  1.00476E+00  5.81828E-02
   24540.057    165.988   6.600  1.05488E+00  1.00471E+00  4.92159E-02
   24542.581    168.512   6.650  1.04197E+00  1.00466E+00  3.66341E-02
   24545.124    171.055   6.700  1.02754E+00  1.00460E+00  2.25312E-02
   24547.686    173.618   6.750  1.01379E+00  1.00455E+00  9.08303E-03
   24550.268    176.199   6.800  1.00257E+00  1.00450E+00 -1.89654E-03
   24552.868    178.799   6.850  9.94926E-01  1.00445E+00 -9.37139E-03
   24555.487    181.418   6.900  9.90866E-01  1.00439E+00 -1.33256E-02
   24558.126    184.057   6.950  9.89403E-01  1.00434E+00 -1.47251E-02
   24560.783    186.714   7.000  9.88892E-01  1.00429E+00 -1.51872E-02
   24563.460    189.391   7.050  9.87855E-01  1.00411E+00 -1.60482E-02
   24566.155    192.086   7.100  9.85057E-01  1.00394E+00 -1.86486E-02
   24568.870    194.801   7.150  9.79858E-01  1.00376E+00 -2.36263E-02
   24571.603    197.535   7.200  9.72431E-01  1.00359E+00 -3.08151E-02
   24574.356    200.287   7.250  9.63785E-01  1.00341E+00 -3.92186E-02
   24577.128    203.059   7.300  9.55607E-01  1.00324E+00 -4.71702E-02
   24579.919    205.850   7.350  9.49933E-01  1.00306E+00 -5.26518E-02
   24582.729    208.660   7.400  9.48726E-01  1.00289E+00 -5.37099E-02
   24585.558    211.489   7.450  9.53448E-01  1.00271E+00 -4.88858E-02
   24588.405    214.337   7.500  9.64699E-01  1.00253E+00 -3.75724E-02
   24591.272    217.204   7.550  9.81615E-01  1.00230E+00 -2.05415E-02
   24594.159    220.090   7.600  1.00285E+00  1.00206E+00  7.84025E-04
   24597.064    222.995   7.650  1.02609E+00  1.00182E+00  2.41205E-02
   24599.988    225.919   7.700  1.04857E+00  1.00158E+00  4.67058E-02
   24602.931    228.862   7.750  1.06745E+00  1.00134E+00  6.57342E-02
   24605.893    231.825   7.800  1.08034E+00  1.00110E+00  7.88075E-02
   24608.875    234.806   7.850  1.08562E+00  1.00086E+00  8.43191E-02
   24611.875    237.806   7.900  1.08273E+00  1.00063E+00  8.17011E-02
   24614.894    240.826   7.950  1.07222E+00  1.00039E+00  7.14905E-02
   24617.933    243.864   8.000  1.05560E+00  1.00015E+00  5.52055E-02
   24620.990    246.922   8.050  1.03519E+00  9.99945E-01  3.50908E-02
   24624.067    249.998   8.100  1.01358E+00  9.99741E-01  1.37786E-02
   24627.163    253.094   8.150  9.93120E-01  9.99538E-01 -6.39020E-03
   24630.277    256.208   8.200  9.75661E-01  9.99334E-01 -2.35755E-02
   24633.411    259.342   8.250  9.62312E-01  9.99130E-01 -3.66707E-02
   24636.564    262.495   8.300  9.53371E-01  9.98927E-01 -4.53768E-02
   24639.735    265.667   8.350  9.48417E-01  9.98723E-01 -5.01134E-02
   24642.926    268.858   8.400  9.46532E-01  9.98519E-01 -5.17924E-02
   24646.136    272.067   8.450  9.46614E-01  9.98316E-01 -5.15124E-02
   24649.365    275.296   8.500  9.47692E-01  9.98112E-01 -5.02409E-02
   24652.613    278.544   8.550  9.49313E-01  9.97956E-01 -4.84710E-02
   24655.880    281.812   8.600  9.51275E-01  9.97800E-01 -4.63611E-02
   24659.166    285.098   8.650  9.54062E-01  9.97644E-01 -4.34296E-02
   24662.472    288.403   8.700  9.58519E-01  9.97487E-01 -3.88343E-02
   24665.796    291.727   8.750  9.65584E-01  9.97331E-01 -3.16388E-02
   24669.139    295.070   8.800  9.75978E-01  9.97175E-01 -2.11250E-02
   24672.501    298.433   8.850  9.89915E-01  9.97019E-01 -7.08019E-03
   24675.883    301.814   8.900  1.00690E+00  9.96863E-01  1.00087E-02
   24679.283    305.214   8.950  1.02571E+00  9.96707E-01  2.89035E-02
   24682.703    308.634   9.000  1.04443E+00  9.96551E-01  4.77274E-02
   24686.141    312.072   9.050  1.06072E+00  9.96355E-01  6.41582E-02
   24689.599    315.530   9.100  1.07232E+00  9.96160E-01  7.59345E-02
   24693.075    319.006   9.150  1.07741E+00  9.95965E-01  8.12124E-02
   24696.571    322.502   9.200  1.07490E+00  9.95770E-01  7.89206E-02
   24700.086    326.017   9.250  1.06475E+00  9.95574E-01  6.89962E-02
   24703.619    329.551   9.300  1.04795E+00  9.95379E-01  5.24484E-02
   24707.172    333.103   9.350  1.02649E+00  9.95184E-01  3.12331E-02
   24710.744    336.675   9.400  1.00296E+00  9.94989E-01  7.95494E-03
   24714.335    340.266   9.450  9.80215E-01  9.94794E-01 -1.45499E-02
   24717.945    343.876   9.500  9.60864E-01  9.94598E-01 -3.36742E-02
   24721.574    347.505   9.550  9.46765E-01  9.94275E-01 -4.74424E-02
   24725.222    351.153   9.600  9.39083E-01  9.93952E-01 -5.48113E-02
   24728.889    354.820   9.650  9.37736E-01  9.93630E-01 -5.58541E-02
   24732.575    358.506   9.700  9.41654E-01  9.93307E-01 -5.16345E-02
   24736.280    362.212   9.750  9.49044E-01  9.92984E-01 -4.39405E-02
   24740.005    365.936   9.800  9.57784E-01  9.92661E-01 -3.48895E-02
   24743.748    369.679   9.850  9.65873E-01  9.92338E-01 -2.64838E-02
   24747.510    373.442   9.900  9.71832E-01  9.92015E-01 -2.02050E-02
   24751.292    377.223   9.950  9.74989E-01  9.91692E-01 -1.67273E-02
   24755.092    381.023  10.000  9.75590E-01  9.91369E-01 -1.58074E-02
   24758.912    384.843  10.050  9.74653E-01  9.90964E-01 -1.63472E-02
   24762.750    388.682  10.100  9.73870E-01  9.90558E-01 -1.67327E-02
